epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6286,0.96378,3.72555,1.14817,0.48521,0.11413,0.12002,0.10071,0.93212,2.69365,1.05201,5.1736e-05,5.1736e-05,5.1736e-05
2,78.1363,0.8895,2.50161,1.08398,0.49073,0.19528,0.164,0.13639,0.93758,2.41991,1.05857,0.000102709,0.000102709,0.000102709
3,114.601,0.8902,2.17393,1.08194,0.53279,0.16393,0.15267,0.11511,0.97172,2.59134,1.09386,0.000152652,0.000152652,0.000152652
4,152.362,0.88105,1.99113,1.06947,0.43385,0.24702,0.20885,0.16962,0.99039,2.4414,1.08128,0.000151367,0.000151367,0.000151367
5,191.171,0.85771,1.78282,1.05726,0.40024,0.24311,0.23924,0.20228,0.91355,2.38076,1.057,0.000149822,0.000149822,0.000149822
6,228.66,0.83583,1.64449,1.04696,0.4115,0.21235,0.21376,0.17358,0.96197,2.34047,1.07091,0.000148278,0.000148278,0.000148278
7,267.802,0.81575,1.50477,1.03804,0.49625,0.21707,0.22402,0.17905,0.92599,2.24182,1.05629,0.000146734,0.000146734,0.000146734
8,305.756,0.80593,1.42377,1.03213,0.44684,0.28698,0.26294,0.21869,0.92956,2.26335,1.05643,0.000145189,0.000145189,0.000145189
9,341.994,0.79777,1.31318,1.02287,0.47905,0.25423,0.27244,0.22679,0.89669,2.15964,1.04417,0.000143645,0.000143645,0.000143645
10,377.842,0.78657,1.25654,1.02025,0.43127,0.28571,0.27438,0.21825,0.92079,2.21779,1.06908,0.0001421,0.0001421,0.0001421
11,414.089,0.76434,1.18692,1.0099,0.53142,0.28038,0.28823,0.2411,0.92326,2.21277,1.05602,0.000140556,0.000140556,0.000140556
12,450.003,0.76666,1.10935,1.00756,0.56105,0.25802,0.27663,0.22779,0.90485,2.18421,1.05177,0.000139012,0.000139012,0.000139012
13,486.071,0.73311,1.0479,0.99152,0.48212,0.29746,0.2895,0.24278,0.91428,2.24676,1.06508,0.000137467,0.000137467,0.000137467
14,522.07,0.73483,1.00557,0.9895,0.51522,0.30571,0.31666,0.26187,0.90527,2.11313,1.05262,0.000135923,0.000135923,0.000135923
15,558.03,0.73161,0.97529,0.99015,0.5346,0.2422,0.27932,0.22437,0.88445,2.09712,1.03908,0.000134378,0.000134378,0.000134378
16,595.488,0.71502,0.93268,0.98423,0.58902,0.26885,0.3211,0.25086,0.9138,2.08241,1.07963,0.000132834,0.000132834,0.000132834
17,632.696,0.71323,0.90178,0.9782,0.50844,0.32824,0.31864,0.2651,0.90235,2.04179,1.05855,0.00013129,0.00013129,0.00013129
18,671.421,0.70218,0.8758,0.97283,0.5852,0.27763,0.32425,0.26741,0.89646,2.17846,1.05437,0.000129745,0.000129745,0.000129745
19,710.192,0.69876,0.84133,0.9701,0.60551,0.26176,0.31665,0.26116,0.8821,2.09206,1.0562,0.000128201,0.000128201,0.000128201
20,750.123,0.70121,0.82858,0.97024,0.47245,0.32446,0.32076,0.26235,0.89855,2.04554,1.05588,0.000126656,0.000126656,0.000126656
21,789.133,0.67864,0.79565,0.96185,0.61146,0.28383,0.32828,0.26633,0.9051,2.12692,1.06062,0.000125112,0.000125112,0.000125112
22,827.303,0.68242,0.77793,0.96329,0.50304,0.37325,0.36227,0.2953,0.92549,2.01401,1.06455,0.000123568,0.000123568,0.000123568
23,865.676,0.67328,0.7535,0.95997,0.5342,0.31006,0.33635,0.27986,0.90745,2.06123,1.03914,0.000122023,0.000122023,0.000122023
24,904.559,0.66354,0.73348,0.95317,0.6136,0.2971,0.37379,0.31194,0.88736,2.10007,1.03676,0.000120479,0.000120479,0.000120479
25,942.766,0.66107,0.71302,0.95142,0.61837,0.27971,0.35073,0.29457,0.87794,2.04724,1.05442,0.000118934,0.000118934,0.000118934
26,978.435,0.65544,0.70467,0.95087,0.63403,0.30894,0.34268,0.27388,0.88124,1.97065,1.05126,0.00011739,0.00011739,0.00011739
27,1014.16,0.6486,0.68262,0.94204,0.50179,0.3578,0.37173,0.30276,0.88685,1.96811,1.05279,0.000115846,0.000115846,0.000115846
28,1049.88,0.65043,0.67849,0.94307,0.50361,0.37185,0.3954,0.32409,0.88377,1.9895,1.05198,0.000114301,0.000114301,0.000114301
29,1086.98,0.64082,0.66934,0.94339,0.56845,0.33015,0.3712,0.31017,0.89915,1.98773,1.06324,0.000112757,0.000112757,0.000112757
30,1124.25,0.64797,0.66005,0.94597,0.57015,0.35963,0.38324,0.31667,0.8914,1.90428,1.067,0.000111212,0.000111212,0.000111212
31,1161.37,0.6397,0.6415,0.94031,0.52232,0.36007,0.4062,0.34139,0.8911,2.01232,1.06531,0.000109668,0.000109668,0.000109668
32,1197.94,0.61539,0.61879,0.93284,0.64116,0.35591,0.39772,0.32241,0.89882,1.93088,1.07572,0.000108124,0.000108124,0.000108124
33,1234.45,0.62016,0.61012,0.93669,0.59624,0.37912,0.39852,0.33116,0.89229,1.93857,1.0787,0.000106579,0.000106579,0.000106579
34,1270.27,0.62292,0.61015,0.93627,0.66588,0.33157,0.40171,0.34168,0.87886,1.91267,1.06314,0.000105035,0.000105035,0.000105035
35,1305.96,0.62137,0.60008,0.93496,0.60785,0.33413,0.36063,0.29323,0.87801,1.97742,1.05595,0.00010349,0.00010349,0.00010349
